subject_id	predicate_id	object_id	mapping_justification	subject_label	object_label	author_id	reviewer_id	comment
Orphanet:2561	skos:broadMatch	biolink:Disease	sio:SIO_000137	Pyramidal molars-abnormal upper lip syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1237	skos:broadMatch	biolink:Disease	sio:SIO_000137	Beemer-Ertbruggen syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:120	skos:broadMatch	biolink:Disease	sio:SIO_000137	NON RARE IN EUROPE: Pernicious anemia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:403591	skos:broadMatch	biolink:Gene	sio:SIO_000137	cyclin O	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1236	skos:broadMatch	biolink:Disease	sio:SIO_000137	Severe microbrachycephaly-intellectual disability-athetoid cerebral palsy syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2563	skos:broadMatch	biolink:Disease	sio:SIO_000137	MOMO syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:122	skos:broadMatch	biolink:Disease	sio:SIO_000137	Birt-Hogg-Dubé syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1235	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Ectodermal dysplasia-absent dermatoglyphs syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1234	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bartsocas-Papas syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2564	skos:broadMatch	biolink:Disease	sio:SIO_000137	Tetramelic monodactyly	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:438216	skos:broadMatch	biolink:Disease	sio:SIO_000137	PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome due to a point mutation	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1239	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Behr syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2569	skos:broadMatch	biolink:Disease	sio:SIO_000137	Moore-Federman syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199310	skos:broadMatch	biolink:Disease	sio:SIO_000137	Tetragametic chimerism	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:438213	skos:broadMatch	biolink:Disease	sio:SIO_000137	PURA-related severe neonatal hypotonia-seizures-encephalopathy syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:477814	skos:broadMatch	biolink:Disease	sio:SIO_000137	Progressive microcephaly-seizures-cortical blindness-developmental delay syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:113	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bazex-Dupré-Christol syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:112	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bartter syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:235504	skos:broadMatch	biolink:Gene	sio:SIO_000137	ETS variant transcription factor 4	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199306	skos:broadMatch	biolink:Disease	sio:SIO_000137	Cleft lip/palate	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:115	skos:broadMatch	biolink:Disease	sio:SIO_000137	Congenital contractural arachnodactyly	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2570	skos:broadMatch	biolink:Disease	sio:SIO_000137	Lethal intrauterine growth restriction-cortical malformation-congenital contractures syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:114	skos:broadMatch	biolink:Disease	sio:SIO_000137	Auriculoosteodysplasia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2571	skos:broadMatch	biolink:Disease	sio:SIO_000137	X-linked immunoneurologic disorder	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1240	skos:broadMatch	biolink:Disease	sio:SIO_000137	Metaphyseal acroscyphodysplasia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:117	skos:broadMatch	biolink:Disease	sio:SIO_000137	Behçet disease	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:116	skos:broadMatch	biolink:Disease	sio:SIO_000137	Beckwith-Wiedemann syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:477817	skos:broadMatch	biolink:Disease	sio:SIO_000137	PMP22-RAI1 contiguous gene duplication syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:119	skos:broadMatch	biolink:Disease	sio:SIO_000137	Beta-sarcoglycan-related  limb-girdle muscular dystrophy R4	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:118	skos:broadMatch	biolink:Disease	sio:SIO_000137	Beta-mannosidosis	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2576	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mulibrey nanism	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1244	skos:broadMatch	biolink:Disease	sio:SIO_000137	NON RARE IN EUROPE: Bicuspid aortic valve	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1243	skos:broadMatch	biolink:Disease	sio:SIO_000137	Best vitelliform macular dystrophy	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2578	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mayer-Rokitansky-Küster-Hauser syndrome type 2	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2579	skos:broadMatch	biolink:Disease	sio:SIO_000137	Muscular atrophy-ataxia-retinitis pigmentosa-diabetes mellitus syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1241	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bencze syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1248	skos:broadMatch	biolink:Disease	sio:SIO_000137	Maxillonasal dysplasia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2572	skos:broadMatch	biolink:Disease	sio:SIO_000137	Spastic ataxia-corneal dystrophy syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2573	skos:broadMatch	biolink:Disease	sio:SIO_000137	Moyamoya disease	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1247	skos:broadMatch	biolink:Disease	sio:SIO_000137	Schistosomiasis	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:111	skos:broadMatch	biolink:Disease	sio:SIO_000137	Barth syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2574	skos:broadMatch	biolink:Disease	sio:SIO_000137	Moynahan syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1246	skos:broadMatch	biolink:Disease	sio:SIO_000137	Brachydactyly-nystagmus-cerebellar ataxia syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:110	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bardet-Biedl syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2575	skos:broadMatch	biolink:Disease	sio:SIO_000137	Cystic fibrosis-gastritis-megaloblastic anemia syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1245	skos:broadMatch	biolink:Disease	sio:SIO_000137	BIDS syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:438207	skos:broadMatch	biolink:Disease	sio:SIO_000137	Severe autosomal recessive macrothrombocytopenia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1249	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Binswanger disease	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199302	skos:broadMatch	biolink:Disease	sio:SIO_000137	Isolated cleft lip	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:477811	skos:broadMatch	biolink:Disease	sio:SIO_000137	Rare hypercholesterolemia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:146	skos:broadMatch	biolink:Disease	sio:SIO_000137	Differentiated thyroid carcinoma	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199337	skos:broadMatch	biolink:Disease	sio:SIO_000137	Pancreatic insufficiency-anemia-hyperostosis syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:145	skos:broadMatch	biolink:Disease	sio:SIO_000137	Hereditary breast and ovarian cancer syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2580	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Shoulder and girdle defects-familial intellectual disability syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:261801	skos:broadMatch	biolink:Disease	sio:SIO_000137	Partial deletion of chromosome 8	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:148	skos:broadMatch	biolink:Disease	sio:SIO_000137	Multiple carboxylase deficiency	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:147	skos:broadMatch	biolink:Disease	sio:SIO_000137	Carbamoyl-phosphate synthetase 1 deficiency	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2582	skos:broadMatch	biolink:Disease	sio:SIO_000137	Myalgia-eosinophilia syndrome associated with tryptophan	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1251	skos:broadMatch	biolink:Disease	sio:SIO_000137	Blepharofacioskeletal syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1250	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Blaichman syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2587	skos:broadMatch	biolink:Disease	sio:SIO_000137	Myeloperoxidase deficiency	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2588	skos:broadMatch	biolink:Disease	sio:SIO_000137	Myhre syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2589	skos:broadMatch	biolink:Disease	sio:SIO_000137	Myoclonus-cerebellar ataxia-deafness syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:140	skos:broadMatch	biolink:Disease	sio:SIO_000137	Campomelic dysplasia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1253	skos:broadMatch	biolink:Disease	sio:SIO_000137	Ascher syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1252	skos:broadMatch	biolink:Disease	sio:SIO_000137	Blepharonasofacial malformation syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:142	skos:broadMatch	biolink:Disease	sio:SIO_000137	Anaplastic thyroid carcinoma	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1259	skos:broadMatch	biolink:Disease	sio:SIO_000137	Blepharoptosis-myopia-ectopia lentis syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2583	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mycetoma	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:261806	skos:broadMatch	biolink:Disease	sio:SIO_000137	Partial deletion of chromosome 9	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2584	skos:broadMatch	biolink:Disease	sio:SIO_000137	Classic mycosis fungoides	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:141	skos:broadMatch	biolink:Disease	sio:SIO_000137	Canavan disease	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1258	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Blepharoptosis-cleft palate-ectrodactyly-dental anomalies syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:144	skos:broadMatch	biolink:Disease	sio:SIO_000137	Lynch syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2585	skos:broadMatch	biolink:Disease	sio:SIO_000137	Ataxia-pancytopenia syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:143	skos:broadMatch	biolink:Disease	sio:SIO_000137	Parathyroid carcinoma	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1256	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Blepharophimosis-radioulnar synostosis syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:583097	skos:broadMatch	biolink:Disease	sio:SIO_000137	Congenital infiltrating lipomatosis of the face	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199332	skos:broadMatch	biolink:Disease	sio:SIO_000137	Endocrine-cerebro-osteodysplasia syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:138376	skos:broadMatch	biolink:Gene	sio:SIO_000137	platelet derived growth factor receptor beta	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2590	skos:broadMatch	biolink:Disease	sio:SIO_000137	Spinal muscular atrophy-progressive myoclonic epilepsy syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:135	skos:broadMatch	biolink:Disease	sio:SIO_000137	CACH syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199326	skos:broadMatch	biolink:Disease	sio:SIO_000137	Isolated autosomal dominant hypomagnesemia, Glaudemans type	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:134	skos:broadMatch	biolink:Disease	sio:SIO_000137	Beta-ketothiolase deficiency	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2591	skos:broadMatch	biolink:Disease	sio:SIO_000137	Infantile myofibromatosis	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:137	skos:broadMatch	biolink:Disease	sio:SIO_000137	Congenital disorder of glycosylation	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2593	skos:broadMatch	biolink:Disease	sio:SIO_000137	Tubular aggregate myopathy	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:136	skos:broadMatch	biolink:Disease	sio:SIO_000137	Cerebral autosomal dominant arteriopathy-subcortical infarcts-leukoencephalopathy	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199329	skos:broadMatch	biolink:Disease	sio:SIO_000137	Congenital myopathy, Paradas type	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:139	skos:broadMatch	biolink:Disease	sio:SIO_000137	CHILD syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1262	skos:broadMatch	biolink:Disease	sio:SIO_000137	Böök syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:138	skos:broadMatch	biolink:Disease	sio:SIO_000137	CHARGE syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1261	skos:broadMatch	biolink:Disease	sio:SIO_000137	Bonnemann-Meinecke-Reich syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1260	skos:broadMatch	biolink:Disease	sio:SIO_000137	OBSOLETE: Sino-auricular heart block	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1266	skos:broadMatch	biolink:Disease	sio:SIO_000137	Dermato-cardio-skeletal syndrome, Borrone type	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2598	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mitochondrial myopathy and sideroblastic anemia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1264	skos:broadMatch	biolink:Disease	sio:SIO_000137	Tricho-retino-dento-digital syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1263	skos:broadMatch	biolink:Disease	sio:SIO_000137	Boomerang dysplasia	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:131	skos:broadMatch	biolink:Disease	sio:SIO_000137	Budd-Chiari syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:500722	skos:broadMatch	biolink:Gene	sio:SIO_000137	transmembrane O-mannosyltransferase targeting cadherins 3	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:130	skos:broadMatch	biolink:Disease	sio:SIO_000137	Brugada syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2596	skos:broadMatch	biolink:Disease	sio:SIO_000137	Myopathy and diabetes mellitus	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:133	skos:broadMatch	biolink:Disease	sio:SIO_000137	Chronic beryllium disease	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:132	skos:broadMatch	biolink:Disease	sio:SIO_000137	Butyrylcholinesterase deficiency	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2597	skos:broadMatch	biolink:Disease	sio:SIO_000137	Mitochondrial myopathy-lactic acidosis-deafness syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:1267	skos:broadMatch	biolink:Disease	sio:SIO_000137	Botulism	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:500726	skos:broadMatch	biolink:Gene	sio:SIO_000137	GLI family zinc finger 1	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:138383	skos:broadMatch	biolink:Gene	sio:SIO_000137	LIM homeobox 4	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:199323	skos:broadMatch	biolink:Disease	sio:SIO_000137	Endophthalmitis	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:477831	skos:broadMatch	biolink:Disease	sio:SIO_000137	Kosaki overgrowth syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:138386	skos:broadMatch	biolink:Gene	sio:SIO_000137	SRY-box transcription factor 3	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:261821	skos:broadMatch	biolink:Disease	sio:SIO_000137	Partial deletion of the long arm of chromosome 12	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2521	skos:broadMatch	biolink:Disease	sio:SIO_000137	Microcephaly-cleft palate-abnormal retinal pigmentation syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2522	skos:broadMatch	biolink:Disease	sio:SIO_000137	Microcephaly-cervical spine fusion anomalies syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2523	skos:broadMatch	biolink:Disease	sio:SIO_000137	Microcephaly-brain defect-spasticity-hypernatremia syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2524	skos:broadMatch	biolink:Disease	sio:SIO_000137	Pontocerebellar hypoplasia type 2	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:261826	skos:broadMatch	biolink:Disease	sio:SIO_000137	Partial deletion of chromosome 16	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:165985	skos:broadMatch	biolink:Disease	sio:SIO_000137	Diazoxide-sensitive diffuse hyperinsulinism	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:2526	skos:broadMatch	biolink:Disease	sio:SIO_000137	Microcephaly-lymphedema-chorioretinopathy syndrome	Disease	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
Orphanet:465808	skos:broadMatch	biolink:Gene	sio:SIO_000137	arginine-glutamic acid dipeptide repeats	Gene	orcid:0000-0001-5705-7831	orcid:0000-0001-5705-7831	BioPortal - ORDO_24
